id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
215,1316.885086646903,931.3226286185738,0.32499774574255724,-0.44509566622265695,-0.8309589128675555,25,156.64454165976093,2547.165118867479,-8.515142747066147,-0.1421850726364374
216,1343.0215468527842,932.1701349653499,0.3622745427042708,-0.2845072123327751,-0.7752870197047849,25,143.7648033257354,2203.5049975153,-8.35778509955058,-0.11305218263669672
217,540.6797200667039,939.7550737095823,0.43431678828501624,-0.5738060464429531,0.1521704424029113,25,159.39390612930117,2398.620315502332,-8.449903769218915,-0.0963184927518535
218,1778.3047462488453,945.7008830261962,0.26775842965453645,0.012006270874199778,-0.4964217936946897,25,144.1212064166364,2522.5601447609424,-8.504603824513596,-0.03114980907949625
219,3971.3882827531775,947.4437804629529,0.4022838178748222,0.33253318654534253,-0.6921644043889975,25,158.17780498645354,2438.5308770190422,-8.467820647649688,-0.004023177915294337
220,2441.33838890323,949.5190169287415,0.4838618468420892,-0.026786247394511693,-0.7454074372504745,25,143.61252934482513,1542.7897986989237,-7.970766896357105,-0.25590830321678004
221,3358.2094507876877,963.4417359199913,0.45532255059215443,-0.16489889952862768,-0.5930816341785353,25,143.30559703999495,1884.3833309590398,-8.187923134658796,-0.0628133430715942
222,1525.5554945705571,964.7190444802757,0.39835525247102355,-0.5176902796431282,-0.861025643689654,25,146.62920547969813,2204.197298211644,-8.358126164298763,-0.01629484434099325
223,1008.6098183507174,972.3502269444226,0.35518015981775236,-0.5399232121866102,-0.4290151811752384,25,151.9723951848626,2486.2320344934324,-8.48885414483243,-0.09013026633889373
224,3961.043421823394,973.5515496300977,0.413671802496758,-0.19332395066518115,-0.49699713632474335,25,146.12533015456074,1955.147335152435,-8.227948725854887,-0.18148021151099827
